Welcome to the profile statistics browser.
out_profile/demo.pts% out_profile/demo.pts% Sat Jul 13 23:24:38 2024    out_profile/demo.pts

         2834940 function calls (2799893 primitive calls) in 75.104 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3930    0.004    0.000    0.026    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/ops/common.py:81(get_op_result_name)
     4397    0.004    0.000    0.020    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/frame.py:659(_constructor_from_mgr)
     5647    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
    32961    0.004    0.000    0.004    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/generic.py:405(flags)
     4405    0.004    0.000    0.013    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/indexes/base.py:7688(maybe_extract_name)
     5647    0.004    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     1496    0.004    0.000    0.038    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/series.py:1095(__getitem__)
      448    0.004    0.000    0.179    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
     4242    0.004    0.000    0.005    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/internals/blocks.py:2674(get_block_type)
     4231    0.004    0.000    0.010    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/internals/base.py:86(_validate_set_axis)
      447    0.004    0.000    0.028    0.000 /usr/lib/python3.11/textwrap.py:419(dedent)
       68    0.004    0.000    1.614    0.024 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/internals/managers.py:708(_slice_take_blocks_ax0)
     4068    0.003    0.000    0.006    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/dtypes/common.py:1596(pandas_dtype)
      159    0.003    0.000    0.007    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/dtypes/cast.py:124(maybe_convert_platform)
      183    0.003    0.000    0.006    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/indexes/base.py:842(_engine)
     5304    0.003    0.000    0.005    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/_config/config.py:676(_translate_key)
     8429    0.003    0.000    0.004    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/internals/managers.py:180(blknos)
    12020    0.003    0.000    0.003    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/_config/__init__.py:42(warn_copy_on_write)
     4231    0.003    0.000    0.013    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/internals/managers.py:236(set_axis)
